date,ICICI_LargeMidcap,Nifty50_BeES
2006-06-19,9.21,296.1205
2006-06-20,9.07,290.497
2006-06-21,9.26,296.7886
2006-06-22,9.48,304.0115
2006-06-23,9.52,308.9646
2006-06-26,9.15,298.8128
2006-06-27,9.2,302.7821
2006-06-28,9.19,302.6445
2006-06-29,9.24,304.6288
2006-06-30,9.62,317.9266
2006-07-03,9.67,320.2203
2006-07-04,9.62,318.9682
2006-07-05,9.8,324.8864
2006-07-06,9.7,320.9369
2006-07-07,9.52,312.8193
2006-07-10,9.68,319.7167
2006-07-11,9.65,317.0964
2006-07-12,9.85,325.1667
2006-07-13,9.81,322.4698
2006-07-14,9.69,317.8715
2006-07-17,9.4,306.1337
2006-07-18,9.33,304.7218
2006-07-19,9.11,298.5564
2006-07-20,9.38,307.6941
2006-07-21,9.17,299.8015
2006-07-24,9.24,303.9295
2006-07-25,9.42,309.4607
2006-07-26,9.57,316.5138
2006-07-27,9.7,321.183
2006-07-28,9.69,318.6712
2006-07-31,9.73,319.9193
2006-08-01,9.72,320.4019
2006-08-02,9.83,323.8827
2006-08-03,9.86,324.6798
2006-08-04,9.81,323.3313
2006-08-07,9.77,320.7187
2006-08-08,9.96,327.0746
2006-08-09,10.09,331.3949
2006-08-10,10.13,332.0131
2006-08-11,10.19,333.5192
2006-08-14,10.3,337.5899
2006-08-16,10.41,341.9459
2006-08-17,10.4,341.7251
2006-08-18,10.42,342.0648
2006-08-21,10.48,342.9886
2006-08-22,10.48,342.8425
2006-08-23,10.37,339.9389
2006-08-24,10.48,343.4472
2006-08-25,10.54,345.0203
2006-08-28,10.6,346.5519
2006-08-29,10.64,349.0429
2006-08-30,10.65,349.5125
2006-08-31,10.61,347.7996
2006-09-01,10.69,349.9908
2006-09-04,10.81,354.1835
2006-09-05,10.85,353.8661
2006-09-06,10.9,354.8334
2006-09-07,10.83,352.5327
2006-09-08,10.89,354.2435
2006-09-11,10.54,343.5388
2006-09-12,10.62,345.9467
2006-09-13,10.78,352.509
2006-09-14,10.84,354.2348
2006-09-15,10.89,354.9472
2006-09-18,10.92,356.3842
2006-09-19,10.77,352.7779
2006-09-20,10.87,357.3994
2006-09-21,11.0,362.5046
2006-09-22,10.99,361.6236
2006-09-25,10.94,359.5151
2006-09-26,11.05,364.4126
2006-09-27,11.09,365.1737
2006-09-28,11.06,364.4026
2006-09-29,11.16,366.0942
2006-10-04,11.01,358.6475
2006-10-05,11.15,363.6858
2006-10-06,11.18,364.1696
2006-10-09,11.21,363.9014
2006-10-10,11.21,364.2942
2006-10-11,11.1,363.0196
